year,ev_type,count,make_list,model_list,make_count,model_count
2011,Battery Electric Vehicle (BEV),1887,"['AZURE DYNAMICS' 'CHEVROLET' 'FORD' 'GEM' 'HONDA' 'MILES' 'SMART'
 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO'
 'TOYOTA']","['EV PLUS' 'FORTWO' 'GEM' 'MILES ZX40ST' 'RANGER' 'RAV4' 'ROADSTER'
 'S-10 PICKUP' 'SMITH ELECTRIC VEHICLES' 'TRANSIT CONNECT ELECTRIC'
 'ZX50S AD']",11,11
2011,Plug-in Hybrid Electric Vehicle (PHEV),54,['CHEVROLET'],['VOLT'],1,1
2012,Battery Electric Vehicle (BEV),1901,"['AZURE DYNAMICS' 'BMW' 'CHEVROLET' 'FORD' 'GEM' 'HONDA' 'MILES' 'NISSAN'
 'SMART' 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TH!NK'
 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO' 'TOYOTA']","['ACTIVE E' 'CITY' 'EV PLUS' 'FORTWO' 'GEM' 'LEAF' 'MILES ZX40ST' 'RANGER'
 'RAV4' 'ROADSTER' 'S-10 PICKUP' 'SMITH ELECTRIC VEHICLES'
 'TRANSIT CONNECT ELECTRIC' 'ZX50S AD']",14,14
2012,Plug-in Hybrid Electric Vehicle (PHEV),488,['CHEVROLET' 'FISKER' 'TOYOTA'],['KARMA' 'PRIUS' 'VOLT'],3,3
2013,Battery Electric Vehicle (BEV),2251,"['AZURE DYNAMICS' 'BMW' 'CHEVROLET' 'CODA' 'FORD' 'GEM' 'HONDA' 'MILES'
 'MITSUBISHI' 'NISSAN' 'POLARIS' 'PROTERRA' 'SMART'
 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TH!NK'
 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO' 'TOYOTA']","['ACTIVE E' 'CITY' 'CODA' 'EV PLUS' 'FOCUS' 'FORTWO' 'GEM' 'I-MIEV' 'LEAF'
 'MILES ZX40ST' 'MODEL S' 'RANGER' 'RAV4' 'ROADSTER' 'S-10 PICKUP'
 'SMITH ELECTRIC VEHICLES' 'TRANSIT BUS' 'TRANSIT CONNECT ELECTRIC'
 'ZX50S AD']",18,19
2013,Plug-in Hybrid Electric Vehicle (PHEV),2664,['CHEVROLET' 'FISKER' 'FORD' 'HONDA' 'TOYOTA'],['ACCORD' 'C-MAX' 'KARMA' 'PRIUS PLUG-IN' 'VOLT'],5,5
2014,Battery Electric Vehicle (BEV),12590,"['AZURE DYNAMICS' 'BMW' 'BYD' 'CHEVROLET' 'CODA'
 'ELECTRIC VEHICLES INTERNATIONAL' 'FORD' 'GEM' 'HONDA' 'MILES'
 'MITSUBISHI' 'NISSAN' 'POLARIS' 'PROTERRA' 'SMART'
 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TH!NK'
 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO' 'TOYOTA' 'WHEEGO ELECTRIC CARS']","['ACTIVE E' 'CITY' 'CODA' 'E6' 'EV PLUS' 'FIT' 'FOCUS' 'FORTWO'
 'FORTWO ELECTRIC DRIVE' 'FREIGHTLINER M2' 'GEM' 'I-MIEV' 'LEAF'
 'MILES ZX40ST' 'MODEL S' 'RANGER' 'RAV4' 'ROADSTER' 'S-10 PICKUP'
 'SMITH ELECTRIC VEHICLES' 'TRANSIT BUS' 'TRANSIT CONNECT ELECTRIC'
 'WHEEGO' 'ZX50S AD']",21,24
2014,Plug-in Hybrid Electric Vehicle (PHEV),16125,['CADILLAC' 'CHEVROLET' 'FISKER' 'FORD' 'HONDA' 'PORSCHE' 'TOYOTA'],['ACCORD' 'C-MAX' 'ELR' 'FUSION' 'KARMA' 'PANAMERA' 'PRIUS PLUG-IN' 'VOLT'],7,8
2015,Battery Electric Vehicle (BEV),10407,"['AZURE DYNAMICS' 'BMW' 'BYD' 'CHEVROLET' 'CODA'
 'ELECTRIC VEHICLES INTERNATIONAL' 'FORD' 'GEM' 'HONDA'
 'INDIAN MOTORCYCLE' 'KIA' 'MERCEDES-BENZ' 'MILES' 'MITSUBISHI' 'NISSAN'
 'POLARIS' 'PROTERRA' 'SMART' 'SMITH ELECTRIC VEHICLES' 'TESLA' 'TH!NK'
 'TIANJIN QINGYUAN ELECTRIC VEHICLE CO' 'TOYOTA' 'VOLKSWAGEN'
 'WHEEGO ELECTRIC CARS']","['ACTIVE E' 'B-CLASS' 'CITY' 'CODA' 'E-GOLF' 'E6' 'EV PLUS' 'FIT' 'FOCUS'
 'FORTWO' 'FORTWO ELECTRIC DRIVE' 'FREIGHTLINER M2' 'GEM' 'I-MIEV' 'I3'
 'LEAF' 'MILES ZX40ST' 'MODEL S' 'MODEL X' 'RANGER' 'RAV4' 'ROADSTER'
 'S-10 PICKUP' 'SMITH ELECTRIC VEHICLES' 'SOUL' 'SPARK' 'TRANSIT BUS'
 'TRANSIT CONNECT ELECTRIC' 'WHEEGO' 'ZX50S AD']",25,30
2015,Plug-in Hybrid Electric Vehicle (PHEV),16943,"['BMW' 'CADILLAC' 'CHEVROLET' 'FISKER' 'FORD' 'HONDA' 'HYUNDAI' 'MCLAREN'
 'PORSCHE' 'TOYOTA']","['918' 'ACCORD' 'C-MAX' 'CAYENNE' 'ELR' 'FUSION' 'I3' 'I8' 'KARMA' 'P1'
 'PANAMERA' 'PRIUS PLUG-IN' 'SONATA' 'VOLT' 'X5']",10,15
